market,year,stock_nom,bond_nom,cpi
world,1895,14.4617,2.3801,1.4492
world,1896,6.9262,5.3076,-2.8571
world,1897,8.1842,3.8648,2.9412
world,1898,8.8299,5.4893,1.4286
world,1899,9.5222,2.7307,16.9014
world,1900,3.9962,3.6114,-2.4097
world,1901,-1.2581,2.4837,2.4692
world,1902,8.7103,2.2413,9.6386
world,1903,10.4738,2.5321,-4.3956
world,1904,8.4721,2.8007,2.2983
world,1905,11.4258,3.9461,0.0
world,1906,13.6592,1.5481,4.4944
world,1907,1.2443,2.1302,-2.1501
world,1908,5.445,4.8306,3.2964
world,1909,11.16,2.6244,10.6387
world,1910,5.816,3.4209,-6.7313
world,1911,5.6809,3.8135,-1.0303
world,1912,5.9453,0.6578,7.2914
world,1913,2.3678,6.8626,2.0408
world,1914,-0.7321,3.6071,1.0
world,1915,2.1925,5.8474,2.9703
world,1916,9.7196,2.704,12.5
world,1917,17.5645,1.6719,19.6581
world,1918,6.1961,5.217,17.8571
world,1919,-7.3409,1.0095,16.9697
world,1920,-31.2872,4.1673,-1.5544
world,1921,-6.5736,11.5626,-11.0526
world,1922,26.4245,3.913,-0.5917
world,1923,7.312,6.8592,2.9762
world,1924,5.3425,5.7534,0.0
world,1925,20.3434,5.3943,3.4682
world,1926,17.3084,6.5594,-2.2346
world,1927,28.709,3.4739,-1.1429
world,1928,17.8046,1.1982,-1.1561
world,1929,-8.1229,6.2317,0.0
world,1930,-21.8138,2.9295,-7.0175
world,1931,-27.206,0.6557,-10.0629
world,1932,-12.9128,6.8137,-9.7902
world,1933,56.9184,4.9436,2.3256
world,1934,21.6231,5.9612,3.0303
world,1935,19.5898,4.0138,1.4706
world,1936,17.2759,2.4292,2.1739
world,1937,-4.2253,3.7347,0.7092
world,1938,-1.8321,4.3103,-1.4085
